"","date","MMM","ABT","AMD","AET","AFL","APD","ALK","LNT","MO","AEP","AXP","AIG","ADI","ANDV","AON","APA","AAPL","AMAT","ADM","ARNC","ADP","AVY","BLL","BAC","BK","BBT","BDX","HRB","BA","BMY","CPB","CAT","CNP","CTL","CVX","CHD","CINF","C","CLX","CMS","KO","CL","CMCSA","CMA","CAG","ED","CSX","CMI","CVS","DHR","DE","D","DOV","DWDP","DTE","DUK","ETN","ECL","EIX","EMR","ETR","EQT","EFX","ES","EXC","XOM","FRT","FDX","FITB","FLS","FMC","FL","F","GD","GE","GIS","GPC","GT","GWW","HAL","HAS","HP","HSY","HES","HON","HRL","HST","HPQ","HBAN","ITW","IR","INTC","IBM","IP","IPG","JEC","JNJ","JPM","KSU","K","KMB","KLAC","KR","LEG","LEN","LUK","LLY","LNC","LMT","L","LOW","MTB","MRO","MMC","MAS","MAT","MKC","MCD","MRK","TAP","MSI","MYL","NWL","NEM","NEE","NKE","NI","NBL","JWN","NTRS","NUE","OMC","OKE","PCAR","PNR","PEP","PFE","PCG","PG","PGR","PEG","PSA","SHW","LUV","SYK","SYY","TGT","TXN","TXT","TMK","TRV","TSN","USB","UNP","UTX","VFC","VAR","VNO","VMC","WMT","WBA","DIS","WEC","WFC","WELL","WDC","WY","WHR","XEL","ZION"
"1",1980-01-02,0.506592,NA,NA,1.31199,NA,NA,NA,NA,0.003443,1.289148,0.250193,19.480314,NA,NA,NA,2.567212,NA,NA,NA,3.045915,NA,NA,NA,NA,0.018531,NA,NA,NA,1.497126,0.103053,NA,0.733005,0.133412,NA,0.226634,NA,NA,10.555201,NA,NA,0.018952,0.004704,NA,NA,NA,0.450119,NA,NA,NA,NA,0.393793,NA,NA,0.652782,0.785004,NA,0.02326,NA,0.610391,0.263176,1.624024,NA,NA,NA,0.170006,0.077687,0.769168,2.577796,NA,NA,NA,1.968266,0.003172,0.106615,0.005358,NA,NA,1.955648,NA,1.118065,NA,NA,NA,NA,0.864554,NA,NA,0.057118,NA,NA,NA,NA,1.85237,1.749403,NA,NA,0.001471,NA,NA,NA,NA,NA,0.048011,NA,NA,NA,0.278563,NA,1.241743,NA,NA,NA,0.264935,NA,NA,NA,NA,0.011208,0.422386,NA,2.51281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20882,0.413656,0.000718,0.873988,0.036258,NA,0.117103,NA,NA,0.113917,NA,0.045415,NA,0.063329,NA,NA,NA,NA,0.000126,0.017662,0.049911,NA,NA,NA,NA,0.051733,NA,0.366875,NA,0.003691,NA,NA,5.5333,NA,NA,NA
"2",1980-01-03,0.486124,NA,NA,1.29165,NA,NA,NA,NA,0.003368,1.298163,0.250193,19.144442,NA,NA,NA,2.605671,NA,NA,NA,3.01835,NA,NA,NA,NA,0.018009,NA,NA,NA,1.515982,0.10199,NA,0.726123,0.133412,NA,0.227156,NA,NA,10.782193,NA,NA,0.019443,0.004704,NA,NA,NA,0.447787,NA,NA,NA,NA,0.378501,NA,NA,0.647539,0.800863,NA,0.022795,NA,0.607245,0.266949,1.59249,NA,NA,NA,0.173097,0.075704,0.775577,2.635081,NA,NA,NA,1.927894,0.003172,0.112513,0.005426,NA,NA,1.974635,NA,1.106296,NA,NA,NA,NA,0.846353,NA,NA,0.056621,NA,NA,NA,NA,1.882007,1.755374,NA,NA,0.001474,NA,NA,NA,NA,NA,0.046713,NA,NA,NA,0.278563,NA,1.321103,NA,NA,NA,0.264935,NA,NA,NA,NA,0.011175,0.428357,NA,2.460459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20568,0.415767,0.000718,0.873988,0.03577,NA,0.117868,NA,NA,0.113262,NA,0.045415,NA,0.063611,NA,NA,NA,NA,0.000122,0.017416,0.050354,NA,NA,NA,NA,0.051154,NA,0.362659,NA,0.003637,NA,NA,5.467165,NA,NA,NA
"3",1980-01-04,0.486124,NA,NA,1.32216,NA,NA,NA,NA,0.003405,1.298163,0.25438,19.228424,NA,NA,NA,2.682591,NA,NA,NA,3.01835,NA,NA,NA,NA,0.018139,NA,NA,NA,1.663055,0.102344,NA,0.736446,0.133992,NA,0.226112,NA,NA,10.668693,NA,NA,0.019654,0.004662,NA,NA,NA,0.450119,NA,NA,NA,NA,0.382324,NA,NA,0.658026,0.808792,NA,0.023028,NA,0.616684,0.263176,1.624024,NA,NA,NA,0.179279,0.076425,0.775577,2.792612,NA,NA,NA,1.968266,0.003147,0.123402,0.005605,NA,NA,1.974635,NA,1.126472,NA,NA,NA,NA,0.855454,NA,NA,0.056621,NA,NA,NA,NA,1.878304,1.731491,NA,NA,0.001495,NA,NA,NA,NA,NA,0.047037,NA,NA,NA,0.279163,NA,1.419135,NA,NA,NA,0.264935,NA,NA,NA,NA,0.011339,0.431341,NA,2.538986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20568,0.419988,0.000744,0.878738,0.035953,NA,0.118633,NA,NA,0.115226,NA,0.045415,NA,0.063988,NA,NA,NA,NA,0.000122,0.017724,0.054784,NA,NA,NA,NA,0.052312,NA,0.366875,NA,0.003673,NA,NA,5.489207,NA,NA,NA
"4",1980-01-07,0.488682,NA,NA,1.332331,NA,NA,NA,NA,0.003368,1.316194,0.259614,19.480314,NA,NA,NA,2.663361,NA,NA,NA,3.073478,NA,NA,NA,NA,0.017878,NA,NA,NA,1.723393,0.102698,NA,0.733005,0.133992,NA,0.226112,NA,NA,10.782193,NA,NA,0.019584,0.004621,NA,NA,NA,0.452452,NA,NA,NA,NA,0.365757,NA,NA,0.65016,0.816722,NA,0.023028,NA,0.613538,0.261289,1.624024,NA,NA,NA,0.177734,0.076065,0.781987,2.821254,NA,NA,NA,1.937987,0.003122,0.124763,0.005797,NA,NA,1.936661,NA,1.118065,NA,NA,NA,NA,0.853179,NA,NA,0.055876,NA,NA,NA,NA,1.870893,1.743433,NA,NA,0.001493,NA,NA,NA,NA,NA,0.046713,NA,NA,NA,0.280964,NA,1.498495,NA,NA,NA,0.266775,NA,NA,NA,NA,0.011241,0.435073,NA,2.604423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20568,0.422098,0.000744,0.873988,0.03577,NA,0.118633,NA,NA,0.112607,NA,0.045415,NA,0.064742,NA,NA,NA,NA,0.000122,0.017631,0.05759,NA,NA,NA,NA,0.052119,NA,0.36793,NA,0.003673,NA,NA,5.555342,NA,NA,NA
"5",1980-01-08,0.506592,NA,NA,1.362842,NA,NA,NA,NA,0.003356,1.343238,0.267989,19.564283,NA,NA,NA,2.759511,NA,NA,NA,3.114826,NA,NA,NA,NA,0.018009,NA,NA,NA,1.74979,0.10624,NA,0.739888,0.137473,NA,0.228201,NA,NA,10.933515,NA,NA,0.019724,0.004746,NA,NA,NA,0.457116,NA,NA,NA,NA,0.364482,NA,NA,0.676377,0.808792,NA,0.023028,NA,0.610391,0.264119,1.655558,NA,NA,NA,0.179279,0.076606,0.794807,2.921503,NA,NA,NA,1.958174,0.003184,0.125216,0.006003,NA,NA,1.993621,NA,1.156735,NA,NA,NA,NA,0.873655,NA,NA,0.058608,NA,NA,NA,NA,1.996854,1.791199,NA,NA,0.001553,NA,NA,NA,NA,NA,0.047362,NA,NA,NA,0.29177,NA,1.633872,NA,NA,NA,0.31277,NA,NA,NA,NA,0.011405,0.44776,NA,2.839998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20882,0.422098,0.00078,0.864489,0.035892,NA,0.117868,NA,NA,0.108679,NA,0.045415,NA,0.071999,NA,NA,NA,NA,0.000122,0.016985,0.058328,NA,NA,NA,NA,0.053084,NA,0.375309,NA,0.003691,NA,NA,5.599436,NA,NA,NA
"6",1980-01-09,0.505312,NA,NA,1.373013,NA,NA,NA,NA,0.003306,1.352254,0.265896,19.816174,NA,NA,NA,2.759511,NA,NA,NA,3.163064,NA,NA,NA,NA,0.018139,NA,NA,NA,1.704536,0.106948,NA,0.760536,0.143273,NA,0.226112,NA,NA,10.933515,NA,NA,0.019865,0.004829,NA,NA,NA,0.459448,NA,NA,NA,NA,0.367031,NA,NA,0.689485,0.816722,NA,0.02326,NA,0.607245,0.268835,1.624024,NA,NA,NA,0.180825,0.075885,0.781987,3.057553,NA,NA,NA,1.978361,0.003222,0.123175,0.005935,NA,NA,2.012609,NA,1.17691,NA,NA,NA,NA,0.896406,NA,NA,0.058856,NA,NA,NA,NA,1.937579,1.80314,NA,NA,0.001529,NA,NA,NA,NA,NA,0.047037,NA,NA,NA,0.286968,NA,1.526504,NA,NA,NA,0.292532,NA,NA,NA,NA,0.011602,0.444774,NA,2.813824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21039,0.426319,0.000763,0.864489,0.03638,NA,0.117103,NA,NA,0.10606,NA,0.045415,NA,0.070868,NA,NA,NA,NA,0.000122,0.016862,0.057147,NA,NA,NA,NA,0.053277,NA,0.373201,NA,0.003601,NA,NA,5.621482,NA,NA,NA
"7",1980-01-10,0.51043,NA,NA,1.439121,NA,NA,NA,NA,0.003281,1.343238,0.273223,19.900154,NA,NA,NA,2.711436,NA,NA,NA,3.218194,NA,NA,NA,NA,0.018009,NA,NA,NA,1.734706,0.109781,NA,0.755374,0.142113,NA,0.22559,NA,NA,10.971353,NA,NA,0.019865,0.004871,NA,NA,NA,0.457116,NA,NA,NA,NA,0.359384,NA,NA,0.710457,0.816722,NA,0.023958,NA,0.607245,0.269779,1.624024,NA,NA,NA,0.18237,0.075704,0.756348,3.086195,NA,NA,NA,1.998549,0.003297,0.123628,0.005962,NA,NA,2.050582,NA,1.197087,NA,NA,NA,NA,0.971486,NA,NA,0.060346,NA,NA,NA,NA,2.00056,1.81508,NA,NA,0.001526,NA,NA,NA,NA,NA,0.047362,NA,NA,NA,0.286367,NA,1.53584,NA,NA,NA,0.303571,NA,NA,NA,NA,0.011929,0.449252,NA,2.853086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21039,0.43054,0.000754,0.864489,0.03638,NA,0.117103,NA,NA,0.111298,NA,0.045415,NA,0.070491,NA,NA,NA,NA,0.000122,0.016739,0.057147,NA,NA,NA,NA,0.054435,NA,0.379526,NA,0.003565,NA,NA,5.665568,NA,NA,NA
"8",1980-01-11,0.509151,NA,NA,1.444207,NA,NA,NA,NA,0.003318,1.334223,0.278458,19.98411,NA,NA,NA,2.701821,NA,NA,NA,3.362909,NA,NA,NA,NA,0.01827,NA,NA,NA,1.734706,0.106948,NA,0.746771,0.145013,NA,0.224023,NA,NA,10.971353,NA,NA,0.019935,0.004704,NA,NA,NA,0.457116,NA,NA,NA,NA,0.360659,NA,NA,0.726187,0.808792,NA,0.023958,NA,0.607245,0.272609,1.624024,NA,NA,NA,0.18237,0.075524,0.788397,3.00743,NA,NA,NA,1.998549,0.003309,0.125443,0.005948,NA,NA,2.088557,NA,1.190361,NA,NA,NA,NA,0.969211,NA,NA,0.059973,NA,NA,NA,NA,1.98574,1.844934,NA,NA,0.001517,NA,NA,NA,NA,NA,0.047686,NA,NA,NA,0.286367,NA,1.503163,NA,NA,NA,0.303571,NA,NA,NA,NA,0.011765,0.435819,NA,2.800738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21039,0.424209,0.000763,0.859739,0.036258,NA,0.116337,NA,NA,0.111298,NA,0.045415,NA,0.070491,NA,NA,NA,NA,0.000122,0.01677,0.056408,NA,NA,NA,NA,0.054049,NA,0.379526,NA,0.003601,NA,NA,5.70966,NA,NA,NA
"9",1980-01-14,0.502754,NA,NA,1.459463,NA,NA,NA,NA,0.003318,1.343238,0.278458,19.816174,NA,NA,NA,2.740281,NA,NA,NA,3.362909,NA,NA,NA,NA,0.0184,NA,NA,NA,1.74979,0.105177,NA,0.753653,0.142693,NA,0.224023,NA,NA,10.744356,NA,NA,0.019865,0.004579,NA,NA,NA,0.457116,NA,NA,NA,NA,0.359384,NA,NA,0.728809,0.816722,NA,0.024191,NA,0.616684,0.273552,1.608257,NA,NA,NA,0.180825,0.076606,0.781987,3.179282,NA,NA,NA,1.998549,0.003384,0.125443,0.005948,NA,NA,2.221464,NA,1.192043,NA,NA,NA,NA,0.962385,NA,NA,0.059477,NA,NA,NA,NA,1.982036,1.874787,NA,NA,0.001497,NA,NA,NA,NA,NA,0.047686,NA,NA,NA,0.286367,NA,1.512499,NA,NA,NA,0.303571,NA,NA,NA,NA,0.011733,0.438804,NA,2.820368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21039,0.417877,0.000763,0.854988,0.036986,NA,0.116337,NA,NA,0.109988,NA,0.045415,NA,0.070208,NA,NA,NA,NA,0.000122,0.017108,0.056999,NA,NA,NA,NA,0.054821,NA,0.376364,NA,0.003565,NA,NA,5.819883,NA,NA,NA
"10",1980-01-15,0.493799,NA,NA,1.449291,NA,NA,NA,NA,0.003306,1.343238,0.276364,19.732212,NA,NA,NA,2.711436,NA,NA,NA,3.383583,NA,NA,NA,NA,0.017878,NA,NA,NA,1.828984,0.104469,NA,0.753653,0.140373,NA,0.22559,NA,NA,10.820019,NA,NA,0.019514,0.004579,NA,NA,NA,0.459448,NA,NA,NA,NA,0.35811,NA,NA,0.726187,0.824651,NA,0.024307,NA,0.61983,0.274495,1.624024,NA,NA,NA,0.18237,0.078588,0.794807,3.107677,NA,NA,NA,1.978361,0.003334,0.13123,0.005811,NA,NA,2.221464,NA,1.197087,NA,NA,NA,NA,0.976036,NA,NA,0.060594,NA,NA,NA,NA,2.078358,1.988231,NA,NA,0.0015,NA,NA,NA,NA,NA,0.047686,NA,NA,NA,0.283966,NA,1.577853,NA,NA,NA,0.305411,NA,NA,NA,NA,0.011634,0.434327,NA,2.872719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21353,0.405214,0.000744,0.854988,0.036925,NA,0.116337,NA,NA,0.111298,NA,0.045415,NA,0.070868,NA,NA,NA,NA,0.000122,0.017662,0.05818,NA,NA,NA,NA,0.054049,NA,0.379526,NA,0.003565,NA,NA,6.040335,NA,NA,NA
"11",1980-01-16,0.491241,NA,NA,1.469632,NA,NA,NA,NA,0.003256,1.334223,0.27113,19.480314,NA,NA,NA,2.644131,NA,NA,NA,3.411149,NA,NA,NA,NA,0.017878,NA,NA,NA,1.825212,0.103761,NA,0.763977,0.139213,NA,0.226634,NA,NA,10.820019,NA,NA,0.018882,0.004579,NA,NA,NA,0.457116,NA,NA,NA,NA,0.35811,NA,NA,0.718322,0.824651,NA,0.024191,NA,0.610391,0.270722,1.624024,NA,NA,NA,0.180825,0.079309,0.801216,2.978788,NA,NA,NA,1.988454,0.003334,0.130091,0.00588,NA,NA,2.164504,NA,1.203811,NA,NA,NA,NA,0.976036,NA,NA,0.061712,NA,NA,NA,NA,2.074655,2.053908,NA,NA,0.00149,NA,NA,NA,NA,NA,0.047362,NA,NA,NA,0.278563,NA,1.591859,NA,NA,NA,0.305411,NA,NA,NA,NA,0.0117,0.43358,NA,2.944699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232371,0.396772,0.000725,0.850238,0.036863,NA,0.117103,NA,NA,0.111298,NA,0.043607,NA,0.073412,NA,NA,NA,NA,0.00012,0.017816,0.057147,NA,NA,NA,NA,0.054242,NA,0.385852,NA,0.003493,NA,NA,6.393055,NA,NA,NA
"12",1980-01-17,0.486124,NA,NA,1.413695,NA,NA,NA,NA,0.003144,1.325208,0.266942,18.892542,NA,NA,NA,2.644131,NA,NA,NA,3.418039,NA,NA,NA,NA,0.017878,NA,NA,NA,1.862924,0.10022,NA,0.760536,0.136312,NA,0.227156,NA,NA,10.857855,NA,NA,0.018531,0.004496,NA,NA,NA,0.457116,NA,NA,NA,NA,0.364482,NA,NA,0.718322,0.816722,NA,0.023726,NA,0.610391,0.268835,1.624024,NA,NA,NA,0.179279,0.07985,0.814036,3.000268,NA,NA,NA,1.968266,0.003359,0.130319,0.00588,NA,NA,2.107543,NA,1.193724,NA,NA,NA,NA,0.953285,NA,NA,0.061588,NA,NA,NA,NA,2.052426,2.024055,NA,NA,0.001471,NA,NA,NA,NA,NA,0.047362,NA,NA,NA,0.275561,NA,1.554513,NA,NA,NA,0.298052,NA,NA,NA,NA,0.011372,0.423879,NA,2.918525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235511,0.384109,0.000734,0.840739,0.036307,NA,0.116337,NA,NA,0.111298,NA,0.043607,NA,0.073789,NA,NA,NA,NA,0.00012,0.017816,0.057737,NA,NA,NA,NA,0.052891,NA,0.396394,NA,0.003529,NA,NA,6.304872,NA,NA,NA
"13",1980-01-18,0.478448,NA,NA,1.449291,NA,NA,NA,NA,0.003156,1.307179,0.265896,18.304781,NA,NA,NA,2.817203,NA,NA,NA,3.500735,NA,NA,NA,NA,0.0184,NA,NA,NA,1.88178,0.099511,NA,0.748491,0.136312,NA,0.238123,NA,NA,10.895685,NA,NA,0.018461,0.004621,NA,NA,NA,0.457116,NA,NA,NA,NA,0.369579,NA,NA,0.718322,0.808792,NA,0.023958,NA,0.59466,0.269779,1.624024,NA,NA,NA,0.177734,0.07967,0.826855,3.107677,NA,NA,NA,1.958174,0.003309,0.130547,0.00588,NA,NA,2.088557,NA,1.200448,NA,NA,NA,NA,0.94191,NA,NA,0.060594,NA,NA,NA,NA,2.06354,1.976288,NA,NA,0.001462,NA,NA,NA,NA,NA,0.047686,NA,NA,NA,0.267156,NA,1.540508,NA,NA,NA,0.296212,NA,NA,NA,NA,0.011241,0.420894,NA,2.91198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238651,0.390441,0.000734,0.850238,0.036122,NA,0.114041,NA,NA,0.120463,NA,0.043607,NA,0.073035,NA,NA,NA,NA,0.00012,0.018062,0.057294,NA,NA,NA,NA,0.050961,NA,0.397449,NA,0.003529,NA,NA,6.304872,NA,NA,NA
"14",1980-01-21,0.483565,NA,NA,1.444207,NA,NA,NA,NA,0.003168,1.307179,0.265896,18.472706,NA,NA,NA,2.894122,NA,NA,NA,3.500735,NA,NA,NA,NA,0.018531,NA,NA,NA,1.945886,0.100928,NA,0.753653,0.136892,NA,0.248044,NA,NA,10.895685,NA,NA,0.018812,0.004797,NA,NA,NA,0.459448,NA,NA,NA,NA,0.375952,NA,NA,0.723566,0.816722,NA,0.024191,NA,0.591513,0.266006,1.608257,NA,NA,NA,0.174643,0.080391,0.833265,3.143479,NA,NA,NA,1.968266,0.003372,0.133964,0.006003,NA,NA,2.107543,NA,1.250888,NA,NA,NA,NA,0.969211,NA,NA,0.059477,NA,NA,NA,NA,2.045016,2.006142,NA,NA,0.001481,NA,NA,NA,NA,NA,0.047037,NA,NA,NA,0.269558,NA,1.563849,NA,NA,NA,0.298052,NA,NA,NA,NA,0.011274,0.42164,NA,2.977418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246501,0.394662,0.000734,0.835989,0.035937,NA,0.11098,NA,NA,0.117845,NA,0.043607,NA,0.072658,NA,NA,NA,NA,0.00012,0.018554,0.058328,NA,NA,NA,NA,0.050188,NA,0.40272,NA,0.003493,NA,NA,6.613505,NA,NA,NA
"15",1980-01-22,0.489962,NA,NA,1.42895,NA,NA,NA,NA,0.003231,1.325208,0.264849,18.388731,NA,NA,NA,2.85566,NA,NA,NA,3.452494,NA,NA,NA,NA,0.018661,NA,NA,NA,1.893093,0.099157,NA,0.753653,0.133992,NA,0.247,NA,NA,10.782193,NA,NA,0.018601,0.00467,NA,NA,NA,0.457116,NA,NA,NA,NA,0.372128,NA,NA,0.715701,0.808792,NA,0.02454,NA,0.585221,0.263176,1.59249,NA,NA,NA,0.173097,0.080751,0.852494,3.121998,NA,NA,NA,1.958174,0.003422,0.133053,0.005893,NA,NA,2.107543,NA,1.239119,NA,NA,NA,NA,0.96466,NA,NA,0.059104,NA,NA,NA,NA,2.045016,1.940464,NA,NA,0.001471,NA,NA,NA,NA,NA,0.048011,NA,NA,NA,0.272559,NA,1.540508,NA,NA,NA,0.296212,NA,NA,NA,NA,0.011077,0.417909,NA,2.938155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251212,0.405214,0.000725,0.835989,0.035566,NA,0.111745,NA,NA,0.116535,NA,0.043607,NA,0.071999,NA,NA,NA,NA,0.00012,0.018647,0.05759,NA,NA,NA,NA,0.051154,NA,0.392177,NA,0.003493,NA,NA,6.371009,NA,NA,NA
"16",1980-01-23,0.504034,NA,NA,1.449291,NA,NA,NA,NA,0.003306,1.325208,0.269036,19.396338,NA,NA,NA,2.951811,NA,NA,NA,3.42493,NA,NA,NA,NA,0.018857,NA,NA,NA,1.99114,0.099865,NA,0.762256,0.135732,NA,0.2517,NA,NA,10.782193,NA,NA,0.018671,0.004755,NA,NA,NA,0.459448,NA,NA,NA,NA,0.368305,NA,NA,0.723566,0.800863,NA,0.024074,NA,0.591513,0.263176,1.59249,NA,NA,NA,0.174643,0.083815,0.865313,3.265209,NA,NA,NA,1.948079,0.003571,0.138521,0.006017,NA,NA,2.107543,NA,1.264339,NA,NA,NA,NA,0.932808,NA,NA,0.061836,NA,NA,NA,NA,2.111701,1.934493,NA,NA,0.001481,NA,NA,NA,NA,NA,0.047037,NA,NA,NA,0.278563,NA,1.58719,NA,NA,NA,0.296212,NA,NA,NA,NA,0.011208,0.419401,NA,2.951243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257492,0.400993,0.000734,0.831239,0.035443,NA,0.111745,NA,NA,0.111298,NA,0.043607,NA,0.072375,NA,NA,NA,NA,0.00012,0.018616,0.060395,NA,NA,NA,NA,0.050961,NA,0.393232,NA,0.003637,NA,NA,6.172604,NA,NA,NA
"17",1980-01-24,0.511709,NA,NA,1.469632,NA,NA,NA,NA,0.003306,1.325208,0.270083,19.564283,NA,NA,NA,2.922966,NA,NA,NA,3.473169,NA,NA,NA,NA,0.018792,NA,NA,NA,1.960973,0.098803,NA,0.779463,0.135152,NA,0.255355,NA,NA,10.857855,NA,NA,0.018531,0.004712,NA,NA,NA,0.452452,NA,NA,NA,NA,0.372128,NA,NA,0.720944,0.808792,NA,0.024191,NA,0.585221,0.261289,1.59249,NA,NA,NA,0.173097,0.084717,0.865313,3.379778,NA,NA,NA,1.978361,0.003497,0.138293,0.006003,NA,NA,2.107543,NA,1.27779,NA,NA,NA,NA,0.94191,NA,NA,0.063698,NA,NA,NA,NA,2.093178,1.934493,NA,NA,0.001471,NA,NA,NA,NA,NA,0.046389,NA,NA,NA,0.274961,NA,1.66655,NA,NA,NA,0.290693,NA,NA,NA,NA,0.0117,0.419401,NA,2.89235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254352,0.396772,0.000725,0.840739,0.035937,NA,0.11098,NA,NA,0.112607,NA,0.045415,NA,0.073035,NA,NA,NA,NA,0.00012,0.019324,0.060543,NA,NA,NA,NA,0.052312,NA,0.396394,NA,0.003637,NA,NA,6.084426,NA,NA,NA
"18",1980-01-25,0.507871,NA,NA,1.454376,NA,NA,NA,NA,0.003306,1.316194,0.267989,19.480314,NA,NA,NA,2.836432,NA,NA,NA,3.500735,NA,NA,NA,NA,0.0184,NA,NA,NA,1.994911,0.10022,NA,0.784625,0.133992,NA,0.254833,NA,NA,10.820019,NA,NA,0.018531,0.004712,NA,NA,NA,0.450119,NA,NA,NA,NA,0.372128,NA,NA,0.713079,0.808792,NA,0.02454,NA,0.569489,0.256573,1.59249,NA,NA,NA,0.173097,0.083635,0.858904,3.40126,NA,NA,NA,1.948079,0.003407,0.141027,0.006031,NA,NA,2.069569,NA,1.259295,NA,NA,NA,NA,0.939634,NA,NA,0.064443,NA,NA,NA,NA,2.078358,1.904641,NA,NA,0.001457,NA,NA,NA,NA,NA,0.046713,NA,NA,NA,0.272559,NA,1.689891,NA,NA,NA,0.274134,NA,NA,NA,NA,0.011667,0.417909,NA,2.931612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252782,0.415767,0.000725,0.835989,0.035999,NA,0.110214,NA,NA,0.112607,NA,0.047478,NA,0.074166,NA,NA,NA,NA,0.00012,0.01917,0.060838,NA,NA,NA,NA,0.053277,NA,0.400611,NA,0.003601,NA,NA,6.172604,NA,NA,NA
"19",1980-01-28,0.511709,NA,NA,1.484888,NA,NA,NA,NA,0.00348,1.325208,0.265896,19.480314,NA,NA,NA,2.759511,NA,NA,NA,3.475606,NA,NA,NA,NA,0.018531,NA,NA,NA,2.047707,0.099157,NA,0.784625,0.136312,NA,0.259011,NA,NA,10.630865,NA,NA,0.019163,0.00484,NA,NA,NA,0.450119,NA,NA,NA,NA,0.377226,NA,NA,0.723566,0.808792,NA,0.024772,NA,0.578928,0.259402,1.576723,NA,NA,NA,0.171552,0.085978,0.858904,3.40126,NA,NA,NA,1.929605,0.003432,0.145583,0.006086,NA,NA,2.088557,NA,1.27779,NA,NA,NA,NA,0.96466,NA,NA,0.066058,NA,NA,NA,NA,2.104292,1.910611,NA,NA,0.001476,NA,NA,NA,NA,NA,0.046389,NA,NA,NA,0.27316,NA,1.750576,NA,NA,NA,0.272294,NA,NA,NA,NA,0.011864,0.41567,NA,3.101751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251212,0.403104,0.000718,0.816989,0.035999,NA,0.110214,NA,NA,0.109988,NA,0.047478,NA,0.077747,NA,NA,NA,NA,0.00012,0.019262,0.061724,NA,NA,NA,NA,0.053277,NA,0.396394,NA,0.003686,NA,NA,6.007944,NA,NA,NA
"20",1980-01-29,0.509151,NA,NA,1.459463,NA,NA,NA,NA,0.003493,1.316194,0.263802,18.976511,NA,NA,NA,2.759511,NA,NA,NA,3.440712,NA,NA,NA,NA,0.018531,NA,NA,NA,2.013767,0.098449,NA,0.781184,0.136312,NA,0.255355,NA,NA,10.630865,NA,NA,0.019443,0.004755,NA,NA,NA,0.447787,NA,NA,NA,NA,0.372128,NA,NA,0.718322,0.792934,NA,0.024772,NA,0.578928,0.260346,1.576723,NA,NA,NA,0.173097,0.085978,0.858904,3.379778,NA,NA,NA,1.939869,0.003407,0.145811,0.005976,NA,NA,2.107543,NA,1.284514,NA,NA,NA,NA,1.03064,NA,NA,0.065561,NA,NA,NA,NA,2.085768,1.874787,NA,NA,0.001457,NA,NA,NA,NA,NA,0.046389,NA,NA,NA,0.272559,NA,1.741241,NA,NA,NA,0.272294,NA,NA,NA,NA,0.0117,0.411192,NA,3.127923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248072,0.403104,0.000718,0.826489,0.03606,NA,0.111745,NA,NA,0.111298,NA,0.047478,NA,0.07737,NA,NA,NA,NA,0.00012,0.019262,0.061281,NA,NA,NA,NA,0.054435,NA,0.393232,NA,0.003613,NA,NA,6.007944,NA,NA,NA
